City,Season,PM2.5 (µg/m³),PM10 (µg/m³),NO₂ (µg/m³),SO₂ (µg/m³),CO (mg/m³),O₃ (µg/m³),NH₃ (µg/m³),Temperature (°C),Humidity (%),Wind Speed (km/h),Traffic Density (veh/hr),Industrial Activity (0-100),Green Cover (%),Population Density (per km²),Waste Management Score (0-10),AQI,Outlier
Bhopal,Monsoon,56.1,61.7,13.2,12.3,1.08,27.7,4.9,33.7,77.1,30.7,3473,59.5,29.7,5584,3.7,97.1,No
Ahmedabad,Summer,93.7,111.9,22.2,11.3,2.62,60.7,17.0,40.5,25.6,22.4,5775,65.0,8.3,8601,7.8,167.2,No
Ghaziabad,Summer,86.0,144.2,38.4,207.9,1.63,25.6,141.1,48.6,45.0,15.7,8704,65.8,12.0,14966,3.9,275.4,Yes
Kolkata,Summer,101.4,125.7,24.0,21.5,1.02,30.3,20.9,40.3,26.8,13.3,5318,53.9,7.8,25401,7.6,186.3,No
Amritsar,Summer,87.6,100.2,30.8,21.2,0.88,33.9,18.8,44.8,44.5,23.5,3225,45.7,23.4,6979,8.1,151.5,No
Faridabad,Summer,87.1,139.0,30.5,18.6,1.09,49.7,19.0,38.5,31.5,23.5,5140,65.2,5.1,9882,6.5,156.4,No
Kolkata,Summer,86.4,151.7,28.1,29.6,1.27,59.4,7.6,43.9,47.7,12.2,5796,55.7,14.7,20529,4.2,170.1,No
Nashik,Monsoon,29.2,41.3,32.8,1.1,1.94,33.1,1.9,34.8,77.6,21.5,2740,43.3,25.0,4484,5.6,50.4,No
Visakhapatnam,Summer,288.1,592.3,173.7,17.1,10.56,38.4,4.6,35.8,30.8,19.3,4199,55.8,27.8,7658,3.7,500.0,Yes
Visakhapatnam,PostMonsoon,57.6,140.7,47.5,17.0,2.82,42.5,10.6,28.7,55.2,14.0,3508,40.1,30.1,6728,5.5,150.7,No
Bhopal,PostMonsoon,72.0,96.6,11.9,27.1,2.39,39.5,30.9,21.1,56.3,12.0,3435,62.6,15.2,4303,5.0,127.3,No
Nashik,Winter,74.4,120.4,62.7,15.8,2.84,22.0,36.3,20.3,79.2,9.2,3009,57.8,31.0,4388,6.2,132.1,No
Patna,PostMonsoon,99.8,247.5,50.3,17.3,1.97,43.4,34.8,20.2,61.1,19.1,4638,57.2,7.2,11051,7.7,273.4,No
Ahmedabad,Winter,129.4,184.4,66.3,23.9,1.75,19.7,36.0,12.8,79.3,4.7,5623,71.8,10.3,7661,6.5,231.5,No
Nagpur,Monsoon,44.3,63.5,34.7,14.0,0.1,58.1,20.2,32.5,91.5,18.2,3539,38.3,21.6,6507,7.7,79.0,No
Ghaziabad,Winter,175.3,318.7,57.1,13.7,1.62,30.6,44.3,10.9,63.3,4.1,4402,80.8,13.2,12090,7.4,329.8,No
Kanpur,Winter,167.4,379.8,55.7,25.2,1.94,25.2,34.4,14.2,79.7,9.7,3827,68.0,6.5,6433,8.0,396.9,No
Coimbatore,Monsoon,20.7,32.6,38.4,4.7,1.54,36.6,24.8,31.7,82.4,29.4,3821,33.7,34.5,4744,5.8,45.7,No
Amritsar,Winter,149.0,206.0,58.4,19.6,2.7,29.1,45.3,21.0,65.2,5.9,3292,49.4,14.2,7557,6.9,256.8,No
Bhopal,Monsoon,47.7,92.2,24.8,1.0,1.32,44.1,6.7,27.9,94.5,23.7,3339,46.0,9.5,6179,7.0,106.7,No
Visakhapatnam,PostMonsoon,62.6,94.3,35.1,22.6,1.47,38.6,23.4,29.1,47.2,11.2,1777,61.2,20.7,6850,7.3,101.4,No
Coimbatore,Winter,75.2,97.6,20.5,29.0,2.77,43.1,28.0,10.2,59.3,9.9,4424,37.1,31.2,5322,6.1,128.2,No
Ahmedabad,PostMonsoon,118.8,126.4,29.8,16.6,2.74,15.2,28.2,21.8,49.2,9.5,4576,64.2,12.6,7357,5.9,198.7,No
Visakhapatnam,PostMonsoon,75.8,143.0,42.6,25.1,1.5,24.1,29.3,31.8,55.7,18.8,4408,56.1,25.4,6813,4.3,157.0,No
Ahmedabad,Summer,85.0,118.3,28.9,25.8,2.09,45.9,5.7,37.7,35.5,11.5,5309,64.2,14.2,9228,5.8,152.9,No
Ghaziabad,PostMonsoon,151.0,159.8,55.3,1.0,1.02,37.1,24.5,23.2,63.4,8.2,6615,62.8,13.8,9330,5.1,271.0,No
Rajkot,PostMonsoon,87.9,131.5,39.5,20.8,1.57,20.1,29.7,26.7,47.3,16.9,3455,40.0,17.1,6597,7.7,152.4,No
Allahabad,Summer,82.4,180.2,6.9,8.7,1.63,60.4,36.0,36.2,21.5,16.1,3753,49.0,12.1,8217,5.0,182.0,No
Lucknow,Winter,158.8,227.3,41.9,27.1,3.34,35.1,33.1,10.6,74.6,8.9,4239,68.7,8.2,10559,6.5,269.6,No
Delhi,Summer,110.9,143.9,29.5,16.7,0.1,30.0,28.0,33.3,26.2,10.0,5795,47.7,6.5,11517,3.9,205.3,No
Amritsar,Summer,115.1,138.1,40.2,4.1,1.68,225.7,11.0,49.6,30.0,15.2,3920,55.7,19.9,6525,6.2,239.5,Yes
Allahabad,Summer,85.3,168.9,48.6,23.1,1.49,33.6,16.3,42.2,40.3,13.3,4319,45.3,5.3,7270,5.0,191.2,No
Surat,Summer,82.6,87.6,169.0,131.2,10.26,56.2,22.6,34.3,47.5,13.7,5625,76.5,12.7,8763,6.0,271.1,Yes
Kanpur,Monsoon,96.7,217.3,16.2,1.0,1.1,40.6,13.6,31.5,70.3,21.6,3730,70.5,0.5,9002,8.2,219.6,No
Allahabad,Monsoon,94.6,143.3,12.6,8.8,1.3,27.4,18.9,33.2,86.6,29.7,4518,45.6,9.6,8341,8.4,184.5,No
Mumbai,Winter,89.7,170.3,45.7,22.6,2.38,39.5,28.9,19.3,58.8,4.8,6944,42.0,17.0,21144,7.1,197.0,No
Kolkata,PostMonsoon,88.7,169.1,40.4,18.9,2.98,41.6,37.4,20.4,59.1,8.4,5431,45.9,13.4,22446,5.8,188.7,No
Chennai,Summer,60.6,95.7,34.4,14.4,1.25,33.3,25.2,35.3,42.9,20.7,5397,49.1,20.1,6920,7.4,109.6,No
Allahabad,Monsoon,87.8,555.2,20.1,182.0,11.22,43.0,24.5,26.1,94.8,24.6,8773,62.6,13.3,6668,4.2,500.0,Yes
Kanpur,Monsoon,79.4,186.1,10.1,1.0,0.7,17.5,26.1,31.4,78.8,21.3,5970,68.2,9.2,7946,3.6,204.4,No
Pune,Winter,106.6,166.0,53.1,28.7,2.85,28.9,31.0,10.8,69.5,5.2,5187,58.7,25.1,6323,7.2,191.8,No
Vadodara,Monsoon,47.1,69.4,16.4,12.6,1.4,24.7,4.3,30.4,92.8,15.3,4057,54.6,16.8,8117,4.9,86.3,No
Ahmedabad,Summer,73.6,81.8,38.3,18.5,1.27,56.3,13.7,41.6,48.5,10.2,5568,93.8,9.8,7152,8.4,145.2,No
Nagpur,PostMonsoon,67.0,112.7,2.2,21.5,1.74,35.6,5.3,27.6,41.1,8.4,3780,67.6,18.8,6083,5.6,118.6,No
Thane,Winter,89.3,173.6,33.2,31.7,1.55,32.3,31.7,21.3,69.4,5.0,5934,41.4,26.6,13481,7.7,178.6,No
Indore,PostMonsoon,83.4,126.5,27.2,32.0,1.35,45.9,27.8,21.9,43.5,14.8,4130,57.0,16.2,6603,5.5,147.1,No
Surat,Winter,111.9,172.7,41.7,28.1,2.38,30.3,43.1,19.7,70.3,4.9,5380,80.6,11.7,9477,4.8,211.7,No
Agra,Summer,80.6,228.7,35.3,12.4,1.92,55.3,23.8,32.1,29.2,16.0,3283,53.6,15.5,9169,8.2,234.9,No
Vadodara,Summer,75.4,80.4,37.1,174.9,1.85,36.7,141.6,44.1,34.6,19.4,8152,62.9,25.0,7352,6.4,232.1,Yes
Kanpur,PostMonsoon,172.6,250.5,46.4,22.8,2.31,31.3,14.2,24.0,54.6,14.2,4114,93.5,4.7,7041,5.1,313.8,No
Ludhiana,PostMonsoon,117.7,197.4,38.7,17.5,2.43,36.8,33.2,22.8,44.2,17.1,4669,67.4,8.5,7417,8.3,198.7,No
Faridabad,Monsoon,72.1,177.9,26.2,14.9,0.81,26.2,4.6,27.8,77.7,19.4,5155,67.5,13.4,8794,8.0,174.6,No
Ghaziabad,PostMonsoon,98.4,224.8,154.2,19.2,8.5,25.3,25.6,24.9,41.6,18.5,4566,48.9,10.6,10139,5.8,228.2,Yes
Patna,Winter,223.1,314.6,59.5,18.7,2.81,37.6,33.9,11.0,69.1,8.4,3507,63.0,7.6,10008,4.6,382.7,No
Vadodara,Summer,75.5,111.6,32.8,14.3,1.15,23.6,20.9,39.3,48.8,23.4,4081,57.4,13.0,7359,7.5,123.1,No
Agra,Winter,185.1,263.8,50.4,14.3,1.76,39.2,24.0,12.5,69.0,7.3,4716,31.2,9.9,7298,6.2,310.0,No
Nagpur,Summer,64.8,77.3,34.0,16.6,1.6,17.4,14.3,39.0,25.7,13.9,2854,56.6,17.3,5540,6.0,110.3,No
Allahabad,Monsoon,85.6,156.2,29.7,22.1,1.4,32.4,14.2,32.3,80.7,15.5,3982,54.3,9.8,8054,6.0,170.9,No
Indore,PostMonsoon,79.3,118.6,40.2,10.3,2.09,37.2,18.3,26.9,63.8,16.8,4449,68.0,21.2,7980,4.7,137.7,No
Pune,Summer,54.3,556.1,179.2,140.8,1.85,257.2,27.3,36.7,21.8,22.5,5508,44.9,17.6,7104,4.5,500.0,Yes
Agra,PostMonsoon,92.0,178.2,31.4,18.4,2.6,33.2,21.3,30.3,43.0,18.9,5279,63.7,14.2,8685,6.9,202.2,No
Agra,Summer,108.1,182.5,36.7,13.7,1.7,38.6,13.0,44.3,27.9,20.1,3282,71.9,5.0,7658,7.0,185.8,No
Rajkot,Monsoon,37.5,128.8,46.6,1.0,0.48,40.5,5.7,25.2,85.8,28.0,3615,39.9,18.3,5571,6.5,135.7,No
Agra,Monsoon,48.2,155.2,26.3,19.2,1.8,5.8,22.7,28.6,79.6,26.2,4787,59.7,12.0,6863,6.1,159.3,No
Meerut,PostMonsoon,92.8,207.3,32.9,17.1,1.79,30.8,23.9,27.6,44.7,17.9,4587,60.8,15.4,8328,4.0,228.1,No
Patna,Monsoon,57.0,154.0,32.3,4.1,1.13,36.9,5.7,31.2,84.9,23.8,3755,77.7,7.2,7811,7.9,176.2,No
Ghaziabad,Summer,95.2,201.4,20.6,12.1,0.89,52.9,15.8,39.9,40.1,18.3,3125,81.5,6.8,11903,7.4,206.9,No
Pune,PostMonsoon,77.7,85.0,15.9,16.8,1.03,35.5,15.3,28.8,44.4,20.0,4748,44.0,26.1,6074,7.3,132.6,No
Amritsar,PostMonsoon,104.7,144.2,35.2,23.0,2.24,44.6,19.6,25.6,61.6,17.3,3887,63.0,12.7,6439,6.0,178.4,No
Coimbatore,Monsoon,14.1,61.1,31.0,7.2,1.26,5.0,20.0,32.1,71.1,31.8,3657,39.8,33.1,5531,5.8,68.9,No
Coimbatore,Monsoon,47.8,52.8,20.5,11.2,1.71,33.4,12.1,25.2,85.9,29.8,4175,37.5,24.5,5513,5.3,87.3,No
Hyderabad,Summer,53.8,81.0,39.2,1.0,2.21,24.4,14.8,38.4,30.7,24.8,6250,42.7,34.2,8012,8.4,95.1,No
Vadodara,PostMonsoon,78.5,91.5,7.8,24.4,2.25,23.0,24.8,26.3,61.8,11.5,3849,59.9,16.6,6515,5.8,151.8,No
Faridabad,Winter,189.5,341.3,34.6,29.2,2.82,28.8,23.8,17.7,75.7,11.1,6062,90.8,5.4,11021,6.7,349.2,No
Faridabad,Monsoon,85.7,102.0,18.2,10.4,0.55,20.9,31.1,32.5,76.1,21.4,5272,62.9,3.4,7565,5.9,147.2,No
Hyderabad,Winter,85.2,149.1,58.9,28.9,2.25,28.5,30.9,15.8,57.8,6.3,4926,45.2,30.3,6702,4.4,165.1,No
Meerut,Monsoon,74.8,190.4,25.2,17.3,1.17,38.3,13.7,26.8,84.9,28.9,3103,48.9,10.7,6749,6.9,196.8,No
Agra,Summer,167.5,172.5,31.5,14.2,1.48,51.7,19.2,32.4,35.5,18.9,3017,73.1,8.3,8522,5.8,300.6,No
Ahmedabad,Summer,63.8,105.3,41.3,15.9,0.62,50.3,2.1,32.6,35.3,11.9,3987,72.1,17.8,7841,4.4,120.4,No
Ahmedabad,Summer,81.6,132.2,23.7,19.9,1.0,44.7,23.9,33.4,44.5,21.6,5416,85.8,8.8,10052,6.8,161.2,No
Amritsar,Winter,150.3,185.1,32.4,29.0,3.03,52.4,26.9,16.6,71.5,11.7,3284,67.7,12.3,8164,4.2,274.0,No
Amritsar,Winter,127.5,211.6,49.2,25.9,2.27,31.1,44.0,17.2,62.3,11.4,2500,47.6,17.0,8476,6.8,212.4,No
Nashik,Summer,37.8,72.4,55.3,12.3,2.03,53.7,29.3,32.1,34.3,21.9,2661,39.6,34.0,5432,6.3,75.6,No
Ahmedabad,Monsoon,53.2,93.0,47.7,5.9,1.15,52.1,18.8,27.8,89.0,26.5,5022,61.7,19.8,8350,5.4,91.8,No
Mumbai,PostMonsoon,76.7,115.8,39.4,19.7,1.05,36.0,32.6,28.7,55.9,16.6,4056,74.7,16.0,19547,4.3,140.4,No
Delhi,Summer,117.9,142.4,22.3,6.6,1.89,34.7,1.0,39.9,24.7,23.5,4567,38.7,7.7,10951,8.1,204.4,No
Meerut,PostMonsoon,95.6,148.0,34.2,20.7,1.28,14.0,31.4,24.1,62.3,15.4,3676,35.8,12.3,8088,5.7,155.5,No
Mumbai,Winter,112.3,174.3,50.4,25.3,3.02,32.3,33.4,19.6,60.9,8.5,6400,45.5,9.0,18887,7.8,193.5,No
Bengaluru,Monsoon,25.6,69.9,32.2,10.4,1.99,31.9,11.9,34.6,90.3,31.7,6153,53.5,32.9,8409,8.3,78.4,No
Chennai,Summer,43.9,77.8,16.2,8.1,1.38,57.4,26.4,37.4,23.8,15.6,6134,69.7,27.9,9114,4.9,86.9,No
Chennai,Monsoon,55.3,60.3,18.7,30.8,0.67,54.0,14.0,30.2,75.0,33.7,4191,44.4,19.3,9134,5.0,91.3,No
Coimbatore,Winter,64.6,89.8,49.7,37.5,3.08,27.2,27.3,20.1,72.8,11.2,3988,41.4,31.7,4660,3.9,112.3,No
Kanpur,Summer,136.5,146.6,29.1,9.0,0.66,55.4,14.5,37.1,28.4,18.7,4652,54.3,18.4,7224,7.2,233.8,No
Hyderabad,Summer,55.8,67.0,13.8,18.7,1.0,28.0,29.2,32.2,46.9,16.2,4815,48.6,20.7,7657,7.1,102.9,No
Kolkata,Winter,142.4,224.3,56.5,21.2,2.66,32.6,37.3,11.0,69.6,10.6,6188,78.5,17.6,22492,4.0,267.1,No
Ghaziabad,Monsoon,86.5,104.1,17.9,16.5,1.48,39.1,4.2,34.2,92.1,29.3,6310,86.4,5.8,10391,6.1,158.7,No
Nagpur,Summer,34.7,135.7,31.8,22.3,1.75,49.2,23.1,43.1,31.6,11.7,4353,51.9,24.9,6877,7.1,138.1,No
Vadodara,Winter,100.2,181.6,37.9,14.1,2.57,25.9,35.4,14.7,66.5,9.2,3556,52.8,19.0,7081,3.5,194.4,No
Faridabad,Monsoon,124.7,129.7,23.0,1.6,1.8,57.7,30.4,30.0,70.4,33.0,6021,70.2,10.6,11132,8.4,219.6,No
Visakhapatnam,Summer,77.3,82.3,31.0,12.0,0.73,55.8,4.7,41.9,21.8,23.8,4569,51.0,26.7,7637,3.8,127.5,No
Rajkot,Winter,112.2,171.3,52.9,25.8,2.2,59.0,23.2,20.6,68.6,4.3,3632,54.7,20.3,6376,8.0,190.7,No
Bhopal,PostMonsoon,50.5,100.9,55.6,22.5,1.97,30.7,21.7,30.3,44.8,10.9,2574,43.6,21.3,6622,8.1,98.4,No
Kolkata,Summer,93.3,100.0,22.7,16.0,2.41,46.6,23.4,33.9,49.8,19.7,5601,67.5,25.0,21939,3.6,173.0,No
Jaipur,Monsoon,52.2,154.4,11.8,1.9,0.42,20.9,20.4,27.0,94.2,23.6,5471,76.1,16.3,6104,7.5,176.7,No
Bengaluru,Winter,79.6,112.9,43.9,12.7,3.05,30.9,33.4,13.3,78.4,9.2,6908,45.9,31.7,8969,5.2,149.2,No
Hyderabad,Winter,80.4,141.8,49.0,23.7,1.58,40.2,30.2,21.7,76.2,7.9,5135,60.3,29.2,7357,5.9,153.6,No
Meerut,PostMonsoon,106.6,167.8,44.1,19.2,2.35,42.9,24.3,23.5,61.7,17.0,4245,80.3,8.6,7386,5.6,195.8,No
Varanasi,Summer,97.7,546.8,24.3,25.6,1.3,35.4,165.9,50.1,28.9,21.4,8839,50.6,7.3,8596,6.6,500.0,Yes
Nagpur,Monsoon,71.3,76.3,46.3,10.6,1.07,39.7,18.4,27.8,89.9,23.5,4521,67.6,10.7,6556,6.2,140.9,No
Nagpur,Summer,63.7,132.5,36.4,19.7,2.48,48.9,17.7,35.1,49.5,18.1,3240,37.0,23.7,5599,7.0,125.7,No
Ahmedabad,PostMonsoon,67.2,163.9,28.9,25.9,0.79,29.7,36.3,21.3,42.6,16.2,4315,73.3,18.9,7732,7.3,165.3,No
Mumbai,PostMonsoon,82.8,149.0,54.1,30.9,2.05,51.9,22.1,28.5,59.4,8.0,4433,35.9,18.1,17087,5.3,163.9,No
Coimbatore,Winter,65.9,101.6,44.6,19.8,2.73,22.3,41.2,10.7,77.2,12.0,3496,49.2,27.8,5628,6.1,100.6,No
Bhopal,Winter,78.9,186.1,50.8,19.4,3.13,35.7,26.9,12.5,62.8,4.9,3621,52.0,22.9,7223,6.9,193.4,No
Chennai,PostMonsoon,53.8,107.9,39.3,19.2,1.79,55.7,22.8,29.2,46.8,16.0,4674,61.4,17.5,7348,7.8,111.1,No
Amritsar,Summer,74.8,157.3,26.8,12.5,2.48,43.0,21.5,43.6,22.3,23.9,3837,58.8,13.3,7169,7.2,163.5,No
Hyderabad,Monsoon,54.4,93.8,12.4,12.3,1.56,27.8,29.4,30.7,71.0,30.9,5019,48.8,21.0,7353,6.4,111.9,No
Varanasi,Winter,113.2,226.0,33.3,22.9,1.68,37.5,24.3,18.0,70.3,7.8,3683,56.4,12.2,7448,5.1,225.0,No
Bengaluru,PostMonsoon,55.2,75.3,31.3,32.9,1.72,39.4,15.6,30.2,50.3,16.4,5551,58.7,34.7,6665,6.6,102.5,No
Thane,Summer,71.0,99.7,43.8,12.6,1.53,56.2,31.1,41.2,29.9,11.5,4715,42.6,18.4,13142,6.7,119.7,No
Ludhiana,Summer,76.4,174.1,40.0,8.5,1.3,51.4,23.3,40.1,33.4,11.4,3417,79.5,9.2,9652,6.4,185.7,No
Ahmedabad,Monsoon,26.7,95.0,36.4,7.2,0.43,32.8,13.8,29.6,86.3,24.4,4182,70.3,8.4,8789,7.2,121.0,No
Allahabad,Monsoon,94.6,196.3,27.0,7.4,0.83,31.3,17.7,26.0,81.7,18.9,3692,46.8,10.0,6458,4.0,206.3,No
Nashik,PostMonsoon,67.2,91.7,33.6,8.9,2.84,40.7,9.1,29.3,56.3,10.8,3662,49.4,21.0,4248,5.1,118.5,No
Jaipur,Winter,96.6,239.1,60.7,37.2,2.65,47.6,19.7,15.0,63.6,4.1,4655,53.2,6.1,8093,4.7,253.9,No
Faridabad,PostMonsoon,108.9,212.1,49.3,25.2,1.54,38.8,11.5,29.1,46.0,16.2,5886,64.8,10.2,10160,8.3,228.3,No
Thane,PostMonsoon,87.2,170.6,59.0,16.1,1.54,44.4,27.4,31.0,48.7,11.3,3998,41.1,16.7,15488,4.9,170.8,No
Bengaluru,Winter,63.7,108.2,36.5,22.6,3.7,34.4,46.5,10.8,76.9,11.5,5466,55.9,31.1,8798,4.1,117.4,No
Faridabad,Summer,100.5,209.3,22.8,10.2,1.26,55.0,10.0,44.5,27.3,13.7,4481,81.9,7.4,9159,7.6,222.8,No
Nashik,PostMonsoon,74.7,107.6,43.5,26.2,1.57,19.9,31.7,20.7,54.9,16.6,3073,56.5,20.9,5472,7.6,137.5,No
Hyderabad,Winter,83.4,130.1,49.5,19.3,2.05,37.7,33.6,10.4,73.8,10.7,4844,37.3,24.2,8133,4.1,149.8,No
Ludhiana,Monsoon,58.8,89.7,45.5,12.5,1.0,28.3,13.3,34.4,94.8,25.5,4768,89.1,7.3,8003,7.4,109.5,No
Allahabad,Winter,166.1,267.1,46.8,19.9,2.09,19.4,36.0,18.0,55.2,5.1,4696,43.2,8.4,7734,3.9,280.5,No
Coimbatore,Summer,28.2,51.7,40.5,20.9,0.99,48.5,27.8,42.7,46.8,10.7,3404,33.0,28.4,5470,7.5,44.5,No
Kanpur,Monsoon,81.2,137.5,58.6,19.3,1.86,17.5,8.6,33.8,73.6,28.5,4560,62.1,1.5,7996,7.1,163.8,No
Meerut,PostMonsoon,81.8,208.5,27.3,17.3,2.31,18.2,27.0,31.1,40.1,17.4,2984,54.8,11.5,6914,4.8,223.1,No
Kanpur,Summer,108.8,270.9,56.3,12.0,2.04,35.1,16.1,40.5,44.9,21.9,3619,69.7,13.4,7723,7.8,277.9,No
Varanasi,Monsoon,46.2,130.6,23.5,21.8,2.55,56.8,6.4,25.0,79.9,24.7,2969,43.3,13.3,7838,5.3,139.7,No
Nashik,Summer,48.0,79.1,199.1,168.3,1.76,40.6,166.1,35.4,31.8,0.3,2879,27.8,26.5,5202,6.5,249.3,Yes
Hyderabad,PostMonsoon,67.5,109.9,40.0,22.2,2.58,42.2,29.4,29.3,60.8,11.8,4206,34.1,31.3,7749,6.5,130.0,No
Chennai,Monsoon,42.6,64.1,41.2,11.6,1.02,59.9,1.0,26.1,89.0,33.4,4877,52.1,18.7,8141,3.8,80.9,No
Agra,Summer,94.4,173.0,43.6,21.8,1.67,43.1,34.9,33.9,27.7,18.8,3928,58.0,2.9,9999,5.9,174.7,No
Chennai,Winter,84.0,111.4,72.8,20.5,2.71,22.1,41.4,13.6,78.3,11.7,5703,52.5,29.2,8303,8.2,148.2,No
Mumbai,Monsoon,49.7,89.2,35.4,11.4,0.71,33.8,11.6,25.2,73.4,28.2,6565,39.2,17.4,18741,4.7,105.7,No
Mumbai,Monsoon,56.0,87.1,34.8,13.2,1.39,16.2,16.4,27.0,73.5,27.2,6025,62.5,13.0,18501,6.3,104.8,No
Ghaziabad,Summer,108.0,205.9,27.4,19.6,2.23,47.9,18.5,40.3,20.1,13.8,5976,66.1,6.9,10633,8.3,212.0,No
Kanpur,Summer,127.7,229.2,30.1,1.8,0.97,53.2,21.4,33.2,36.7,11.0,5846,100.0,5.2,8327,4.3,238.8,No
Mumbai,PostMonsoon,91.1,164.0,16.3,8.0,2.46,45.4,26.0,31.5,50.3,17.8,6011,64.8,30.0,20252,8.0,170.6,No
Nagpur,PostMonsoon,57.3,134.3,29.7,16.8,2.08,34.4,14.0,23.2,41.6,10.2,4080,26.2,19.3,6159,6.8,135.7,No
Varanasi,Winter,140.2,270.1,52.0,22.6,2.78,24.5,30.8,11.0,74.2,8.7,2744,54.7,13.4,7992,4.7,280.9,No
Nashik,PostMonsoon,58.5,112.2,45.3,26.0,1.89,19.2,25.5,30.4,43.9,13.9,3149,56.4,24.8,5420,5.8,120.5,No
Vadodara,Winter,110.4,169.4,53.1,30.1,2.9,40.4,29.6,16.7,65.4,4.6,4422,78.5,14.5,7104,3.8,200.9,No
Bengaluru,Summer,57.1,95.9,29.5,22.5,2.09,24.9,17.9,41.6,20.6,23.9,6825,38.7,35.4,7647,7.6,102.9,No
Varanasi,Summer,76.7,158.6,21.5,23.7,2.08,51.8,25.0,42.5,27.5,10.6,3030,37.9,10.7,8125,5.4,162.9,No
Nagpur,Winter,95.5,188.4,59.4,23.9,2.84,31.3,53.6,20.4,62.6,10.4,4634,55.2,22.1,7283,5.7,206.1,No
Agra,Summer,103.7,223.2,31.1,24.7,2.05,53.8,2.6,32.6,31.1,17.5,4669,51.3,9.0,11190,4.7,238.1,No
Vadodara,Monsoon,69.1,74.1,35.4,29.9,1.5,60.5,19.8,34.9,87.7,33.6,4189,56.8,19.0,7966,6.1,113.8,No
Ahmedabad,Winter,128.6,204.7,37.8,34.2,3.57,14.5,39.1,13.6,64.3,5.3,4846,77.3,8.5,6489,5.5,231.4,No
Varanasi,Winter,109.4,186.5,57.8,28.2,2.62,51.5,22.6,13.8,69.5,11.5,2413,40.9,5.9,8926,4.8,196.6,No
Amritsar,Summer,81.0,193.4,27.7,26.3,1.08,47.6,24.9,43.7,30.1,18.0,3494,37.6,19.1,7007,6.5,192.5,No
Bhopal,Summer,37.5,92.3,36.1,13.4,1.37,63.6,31.2,35.5,20.6,13.2,2921,44.6,15.0,5374,4.5,108.8,No
Bengaluru,Summer,51.4,88.5,24.2,24.4,1.41,37.9,28.1,44.5,33.6,19.5,6528,30.8,30.5,10752,8.3,80.6,No
Varanasi,Winter,141.4,240.5,52.4,28.8,2.56,37.8,40.7,11.5,71.0,11.6,3773,51.0,10.2,8940,7.0,244.8,No
Nashik,Monsoon,52.9,66.0,17.5,2.5,1.25,52.4,11.2,32.5,94.3,27.4,2956,45.7,29.6,4941,7.4,108.1,No
Mumbai,Monsoon,50.0,55.0,34.7,21.0,1.4,22.6,27.2,33.3,74.6,30.0,8192,64.6,21.7,14006,5.5,104.4,No
Coimbatore,Summer,42.6,49.1,50.7,15.0,1.83,48.7,22.0,35.9,48.2,14.2,3283,41.9,31.9,7439,7.0,68.3,No
Ahmedabad,Summer,66.7,112.4,33.5,1.2,1.31,36.5,12.1,37.6,25.9,22.3,4716,55.7,22.3,5952,4.1,131.1,No
Jaipur,PostMonsoon,107.3,140.5,16.4,18.5,1.19,26.3,19.6,20.8,62.2,19.2,3943,68.8,15.2,6816,4.2,192.1,No
Ahmedabad,Monsoon,28.7,33.7,34.6,12.7,2.03,27.3,13.3,25.9,75.8,19.4,5251,71.4,11.9,5994,6.4,77.6,No
Indore,Summer,92.3,125.9,39.9,11.8,0.97,54.3,9.1,38.9,24.9,16.4,3879,74.1,15.4,7413,5.1,163.2,No
Kolkata,PostMonsoon,114.3,119.3,40.5,16.2,1.59,22.5,22.3,27.2,58.4,12.1,4742,78.6,16.4,21747,3.8,215.3,No
Faridabad,PostMonsoon,156.2,179.8,41.6,21.0,2.22,48.5,16.3,25.5,41.2,11.5,4897,54.6,12.1,10576,5.6,277.3,No
Indore,Monsoon,39.3,100.6,45.4,23.0,0.94,32.8,4.4,26.8,83.1,28.5,3714,56.7,15.0,7660,7.6,99.6,No
Mumbai,Monsoon,55.6,71.4,15.7,8.8,0.67,33.1,8.3,33.5,89.8,23.9,4507,61.1,24.7,23021,6.9,95.1,No
Varanasi,Summer,100.5,110.7,20.8,4.9,1.44,66.3,28.3,34.7,49.7,23.5,3624,52.0,11.7,9050,3.5,188.2,No
Chennai,Winter,72.4,127.6,74.8,43.0,3.37,40.7,27.0,13.1,59.4,8.4,4452,31.9,26.2,10086,3.6,142.4,No
Jaipur,PostMonsoon,50.2,113.1,50.9,25.0,2.19,41.2,30.1,20.9,54.4,16.4,3940,34.8,13.5,7032,5.0,119.1,No
Ahmedabad,Summer,77.1,164.1,40.6,22.3,1.45,62.7,19.3,38.5,38.3,12.8,3240,63.1,21.2,6700,5.7,177.7,No
Rajkot,PostMonsoon,50.6,118.5,39.1,16.3,0.71,38.5,11.9,29.8,47.7,19.9,4060,68.2,18.3,5849,7.2,124.2,No
Patna,Winter,162.8,280.8,69.6,35.1,3.02,30.8,24.0,11.3,75.3,9.9,3970,58.7,13.9,11034,7.8,291.1,No
Varanasi,Summer,75.3,137.5,48.1,14.0,1.56,41.6,16.5,34.4,43.2,13.8,3733,39.3,8.2,8923,6.6,142.8,No
Amritsar,Summer,53.8,123.3,20.4,26.8,2.22,35.1,10.7,34.7,45.7,12.9,3983,53.0,11.8,6733,6.9,143.4,No
Nashik,Monsoon,39.7,76.7,26.8,8.9,1.19,34.1,20.4,32.3,72.2,29.5,3677,40.3,21.5,5002,8.3,86.3,No
